Unnamed: 0,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success
2.0,Draw Utrecht v Heracles,0.08,4.0,NPL,2021-01-16,0.0
3.0,Draw AZ Alkmaar v ADO Den Haag,0.03,9.0,NPL,2021-01-16,0.0
0.0,Paços Ferreira,0.11,4.3,PPL,2021-01-16,1.0
1.0,Tondela,0.19,3.1,PPL,2021-01-16,1.0
0.0,Konyaspor,0.23,2.1,TSL,2021-01-16,0.0
1.0,GFK,0.47,1.83,TSL,2021-01-16,1.0
0.0,Sheffield Utd,0.05,5.7,EPL,2021-01-17,0.0
1.0,Man. United,0.09,3.7,EPL,2021-01-17,0.0
2.0,Man. City,0.81,1.15,EPL,2021-01-17,1.0
0.0,Draw Strasbourg v St Étienne,0.08,3.8,FL1,2021-01-17,0.0
1.0,St Étienne,0.15,5.4,FL1,2021-01-17,0.0
2.0,Nantes,0.15,2.7,FL1,2021-01-17,0.0
3.0,Lille,0.46,1.59,FL1,2021-01-17,1.0
4.0,Draw Lyon v Metz,0.05,5.8,FL1,2021-01-17,0.0
0.0,Draw Sassuolo v Parma,0.07,4.1,ISA,2021-01-17,1.0
1.0,Parma,0.08,4.9,ISA,2021-01-17,0.0
2.0,Crotone,0.17,2.75,ISA,2021-01-17,1.0
3.0,Juventus,0.15,2.9,ISA,2021-01-17,0.0
0.0,Celtics,0.63,1.32,NBA,2021-01-17,0.0
1.0,Mavericks,0.74,1.34,NBA,2021-01-17,0.0
2.0,Thunder,0.38,2.38,NBA,2021-01-17,0.0
3.0,Nuggets,0.42,1.89,NBA,2021-01-17,0.0
4.0,Clippers,0.55,1.39,NBA,2021-01-17,1.0
0.0,Browns          ,0.05,4.8,NFL,2021-01-17,0.0
1.0,Saints          ,0.53,1.64,NFL,2021-01-17,0.0
0.0,RKC,0.16,2.8,NPL,2021-01-17,0.0
1.0,Groningen,0.21,2.25,NPL,2021-01-17,0.0
2.0,VVV-Venlo,0.19,3.1,NPL,2021-01-17,0.0
0.0,Santa Clara,0.21,2.25,PPL,2021-01-17,0.0
1.0,Gil Vicente,0.23,2.25,PPL,2021-01-17,0.0
0.0,Denizlispor,0.18,2.85,TSL,2021-01-17,0.0
1.0,Beşiktaş,0.24,2.4,TSL,2021-01-17,1.0
0.0,Palmeiras,0.33,2.05,BPL,2021-01-18,1.0
1.0,Goiás,0.07,7.5,BPL,2021-01-18,0.0
0.0,Draw Arsenal v Newcastle,0.08,4.7,EPL,2021-01-18,0.0
1.0,Newcastle,0.05,8.5,EPL,2021-01-18,0.0
0.0,Cagliari,0.04,5.7,ISA,2021-01-18,0.0
0.0,Knicks,0.26,1.98,NBA,2021-01-18,1.0
1.0,Hawks,0.67,1.32,NBA,2021-01-18,1.0
2.0,Heat,0.68,1.42,NBA,2021-01-18,1.0
3.0,Trail Blazers,0.49,2.02,NBA,2021-01-18,0.0
4.0,Raptors,0.39,1.65,NBA,2021-01-18,1.0
5.0,Nets,0.47,2.1,NBA,2021-01-18,1.0
6.0,Rockets,0.29,1.98,NBA,2021-01-18,0.0
7.0,Lakers,0.73,1.27,NBA,2021-01-18,0.0
0.0,Portimonense,0.27,2.35,PPL,2021-01-18,1.0
0,Jazz,0.57,1.39,NBA,2021-01-19
0,Hull City,0.41,1.83,ELO,2021-01-19
1,Portsmouth,0.52,1.5,ELO,2021-01-19
2,Sunderland,0.49,1.59,ELO,2021-01-19
3,Draw Blackpool v Northampton,0.08,3.8,ELO,2021-01-19
4,Northampton,0.07,6.0,ELO,2021-01-19
5,Rochdale,0.05,5.3,ELO,2021-01-19
6,Draw Crewe Alexandra v Bristol Rovers,0.09,3.7,ELO,2021-01-19
7,Bristol Rovers,0.16,5.6,ELO,2021-01-19
8,Draw Lincoln City v Gillingham,0.09,3.7,ELO,2021-01-19
9,Gillingham,0.07,5.7,ELO,2021-01-19
10,Fleetwood Town,0.17,2.9,ELO,2021-01-19
0,West Ham,0.44,1.57,EPL,2021-01-19
1,Chelsea,0.17,2.45,EPL,2021-01-19
0,Leverkusen,0.19,3.2,GPL,2021-01-19
1,Mainz,0.1,4.2,GPL,2021-01-19
0,Kayserispor,0.14,4.4,TSL,2021-01-19
1,Draw Kayserispor v Başakşehir,0.07,3.9,TSL,2021-01-19
2,Trabzonspor,0.37,1.83,TSL,2021-01-19
0,Elche,0.06,4.6,LLA,2021-01-19
1,Cádiz,0.18,2.95,LLA,2021-01-19
2,Alavés,0.08,5.5,LLA,2021-01-19
